"ID_REF"	"GSM760507"	"GSM760508"	"GSM760509"	"GSM760510"	"GSM760511"	"GSM760512"	"GSM760513"	"GSM760514"	"GSM760515"	"GSM760516"	"GSM760517"	"GSM760518"	"GSM760519"	"GSM760520"	"GSM760521"	"GSM760522"	"GSM760523"	"GSM760524"	"GSM760525"	"GSM760526"	"GSM760527"	"GSM760528"	"GSM760529"	"GSM760530"	"GSM760531"	"GSM760532"	"GSM760533"	"GSM760534"	"GSM760535"	"GSM760536"	"GSM760537"	"GSM760538"	"GSM760539"	"GSM760540"	"GSM760541"	"GSM760542"	"GSM760543"	"GSM760544"	"GSM760545"	"GSM760546"	"GSM760547"	"GSM760548"	"GSM760549"	"GSM760550"	"GSM760551"	"GSM760552"	"GSM760553"
177	187.6576375	212.072069	232.5547182	252.2377954	98.93552075	98.71076045	110.2309053	149.5809902	208.4321073	167.2407252	97.3606276	155.5508718	186.292637	51.94254512	128.6089809	257.0504834	134.1830664	190.8093051	179.6924305	192.4679675	128.0088091	120.2547467	177.4743718	247.8910833	158.8243946	100.2349911	129.3877611	215.5254683	162.7608828	113.9175685	55.88174571	71.34120042	81.54160312	84.79079619	159.1418045	179.5226205	215.7995256	79.80085801	88.95233243	190.6762525	137.5824488	76.07187199	132.4343242	143.7221102	80.06056982	133.2052107	78.40086502
182	55.2666704	67.74193867	56.23226263	56.72757291	58.07646726	69.75237889	55.69999621	62.6839458	55.00278629	48.95346845	56.60742628	60.06464205	54.69877342	57.62577733	46.6202123	49.74404551	54.48937968	57.03806846	54.36402191	61.77628462	47.83316036	57.40076701	48.19377337	51.75124027	44.4959351	61.92332345	78.51397049	77.53407735	55.3998137	71.52676967	50.03495509	46.6202123	51.23358316	56.61734007	55.37187532	64.59230035	69.8861615	55.81050057	52.97639531	61.48001546	63.58549922	65.58820356	49.22088953	61.60062193	70.61497313	62.05406591	54.33263287
185	59.39787791	61.72247014	55.74109541	70.35479614	98.93552075	56.32906439	52.04033162	93.42936328	95.50026001	110.4949097	150.9603258	75.89255415	104.2030117	77.75938888	53.8330102	73.58470558	327.4132071	70.42192158	64.60055698	64.85473766	118.0095638	82.38805632	118.7713604	69.51185028	64.18595679	47.74262952	119.9100246	66.45072632	111.5225533	72.18518474	69.73996814	65.42665965	70.99785866	67.98427398	92.11767712	85.83172877	69.8861615	67.30585501	67.14667951	74.62389297	56.31004021	48.8940757	47.72055887	58.88810549	63.45878354	69.0187681	60.14627643
187	49.20275851	67.30585501	53.50111105	65.21626545	48.85143077	46.28078945	48.31303793	93.42936328	57.81866819	59.99346937	54.52109888	66.71487354	56.75653333	85.08150673	46.89546337	60.26831288	54.88693162	64.24435748	64.60055698	50.87645656	52.09309423	56.89217327	50.03495509	53.50976823	51.62098777	53.28173168	69.91751405	48.46659685	54.95294038	55.05059122	43.12572072	54.2998008	47.32615458	56.22791212	74.94832814	80.39771815	79.01334671	59.50744169	55.69999621	63.97837254	50.12479057	51.01772471	57.67642308	117.7356725	60.95392264	51.86830519	53.59700077
192	69.96402143	84.65261216	76.07187199	76.20639046	81.9110403	80.85950981	87.13859059	71.85568412	52.6707524	55.90352681	54.52109888	67.70599798	65.42665965	96.76952748	65.31764352	55.17449966	55.72071361	63.0266535	57.94868616	63.73114167	56.06088499	66.73299715	61.41104091	58.26240754	79.8509075	58.19480669	76.34155726	74.48641279	57.30162348	73.67758564	95.86506871	64.46420888	55.67796797	63.50507313	86.92488932	64.59230035	78.15983567	82.21113886	58.45416498	62.01267786	62.08817286	69.89528932	90.53880042	75.53173389	66.69250796	59.72797084	76.17796188
196	153.1772514	178.0727622	214.7852048	180.3875973	139.7657054	134.1830664	150.0367052	115.4340768	156.0876132	160.666819	143.2439881	156.4416926	177.9124918	66.74997777	101.0983022	202.8523444	182.5398579	198.8063865	164.1893195	193.7922744	183.3974124	157.2726236	122.8962252	141.1895085	169.3270187	179.5226205	112.5903105	152.5062649	202.0248097	157.6143871	129.3877611	76.15256543	73.7353567	79.19771888	114.215299	118.1388805	125.3706021	100.48104	121.6101035	92.79785082	94.95466962	63.46945309	107.1994357	102.9900976	120.8472885	117.8288787	110.7043294
197	49.78958207	45.06954297	52.28931661	51.06363585	49.35113303	49.89180328	77.70070301	48.3765542	49.62719142	44.13145983	47.28456774	51.01772471	50.69937523	44.14053298	73.61488207	50.79769972	62.01267786	47.04055159	51.86830519	59.78715471	54.40881103	228.5951893	53.23608018	47.43208592	53.43931401	48.27588675	51.75746156	47.21215768	51.51680796	52.06843078	41.97120312	64.46420888	57.39463013	89.45179293	63.40117624	51.72225617	44.10532178	43.03963422	47.2002713	56.87210376	45.5590296	48.8940757	59.1373044	47.75207983	55.35438918	51.86830519	48.84148537
199	111.334874	121.6610367	170.4200758	119.2128211	89.53210541	73.67758564	66.67649374	47.67082972	152.299057	213.160662	87.90461332	125.1920968	113.6180264	59.90767005	49.6685866	166.2419477	89.25414786	122.6046436	164.7149889	102.1371254	118.0095638	61.50748792	118.5206147	130.1207629	177.7495303	115.4340768	105.3856986	128.1086514	138.9901771	162.8653456	152.3603401	56.77659214	58.75112517	60.45453463	86.23646374	112.9861311	102.4894572	89.53210541	160.8494016	68.78908537	60.70051182	63.46945309	98.35932261	69.29328081	95.89168238	59.42726641	68.23049566
200	60.50577717	59.98329921	65.55803574	56.72757291	72.58981228	70.8839019	69.16290048	56.41913676	55.9778464	58.2408067	50.29592348	62.72613929	55.96587754	58.75112517	64.09231534	55.78423321	53.90990432	56.3855417	54.59791758	63.73114167	54.40881103	64.07312173	60.95392264	52.37205724	61.24379683	65.54898197	50.47333762	68.41677414	58.26240754	69.75237889	55.88174571	58.51302627	58.0961178	66.00210807	56.72757291	58.592192	54.85288374	61.92332345	64.72050287	62.01267786	62.79234982	48.8940757	66.02401059	47.75207983	62.09356506	59.026216	71.70133707
201	609.6606153	542.6688831	636.416319	527.4546702	748.6643652	782.0848748	983.8763715	289.2007379	448.8042625	434.8757492	309.9197321	550.5134288	531.5404691	450.9490922	483.1406565	505.0354717	434.1315242	667.0906864	454.5266022	505.0354717	366.4225792	438.7642721	393.0738644	474.5763038	513.663803	475.4077444	306.2347071	652.1647013	455.1622727	349.8784726	352.7523701	350.2619799	235.9109269	517.9568264	505.0354717	618.0868782	841.5710194	293.5425755	565.4113651	381.8004958	370.8969924	265.6156035	560.7902933	474.5763038	394.8422944	556.1760661	825.3337862
